comment_text,toxic,toxicity_score,language
Beta to tu apne baap ka hai ...permission to tu maang he liya ab mukr mat smjaaaa ....yehi adat tumlogo ki dagabaazi wali jayegi nahi ....,0,0.0,en
Garibo Kay pas 1000 Kay note bhe nahi hotay voh 100 ya 50 par hi bharosa kartay hai nakli pak notes se bachnay Kay lia !,0,0.0,other
70 की उम्र के बाद नेताओं को सक्रिय राजनीति से हट जाना चाहिए : जनार्दन द्विवेदी...http://t.co/YpHuyr5Rup,0,0.0,hi
Retweeted NDTV Videos (@ndtvvideos):  जम्मू-कश्मीर और झारखंड में पहले दौर का मतदान - http://t.co/r7FhwhZtpm,0,0.0,hi
Ms. Chalbaaz. Part 3 of 3,0,0.0,en
Kyu ki bevkuf bana kae vote nahi lete yogi ji.,0,0.0,de
Desha no 1 chenel bata payege DCHL share kab 72 PAR JAYEGA,0,0.0,de
Sambit patra pawan kheda ko bhagao debate se or break lena bend kero aap bhi.,0,0.0,other
Kya madam ? Aap ke pita ke saman hain wo vidhayak...thoda daant diya to kya hua ?,0,0.0,other
"price bta do sidha sidha ,aur khtm kro ye show 😂",0,0.0,other
Ananda math padhi hai? 😂😂😂😂,0,0.0,en
दिल्ली की जनता ने अपनी पुरानी गलती को सुधारते हुए प्रायश्चित स्वरूप बीजेपी को भारी बहुमत से जिताया है,0,0.0,hi
Ek chai bechene wale ko hi 1000 ka velu samjha mein aayega aabhi k mahgayee mein bhi,0,0.0,other
मोदी जी बहुत हो गई अब मन की बात... अब होनी चाहिये पाकिस्तान से.. गन.. की बात... जय हिन्द..,0,0.0,hi
कुछ करो मिडिया के लिये मत दिखो,0,0.0,hi
Kunder wahi na jiske chatta pada tha.,0,0.0,other
अभी-अभी : बम की अफवाह के बाद दिल्‍ली में इमरजेंसी लैंडिंग करने वाले तुर्की के विमान को मिली उड़ने की इजाजत,0,0.0,hi
"PM jee great. Asv Aurangabad. Nitish cm humlogo ko 3 year kam diya àb naukari khatam ,nikal diye hai.",0,0.0,en
full thi booking 🤣 yehi dekh kar experience kar lo,0,0.0,en
"अब तो हर चुनाव में हमारा बटन वहीं दबेगा जहां से हमारे राष्ट्र की शान और विश्व के गौरव मोदी जी और योगी जी की सुगंध आती हो, क्योंकि सिर्फ इन्ही में ये माद्दा है जो हमें जिहादियो ,गद्दारो और भ्रस्टाचारियो से मुक्ति दिला सकें!      इसलिये अब तो सिर्फ मोदी मोदी मोदी मोदी मोदी!योगी योगी योगी योगी👍👍👍👍👍          जय श्री कृष्णा!💐💐💐💐💐💐",0,0.0,hi
सुरक्षा बलों और आतंकियों के बीच जम्‍मू-कश्‍मीर के कुलगाम जिले में जारी मुठभेड़ में चार आतंकी ढेर हो गए हैं. दो जवान भी शहीद हुए हैं और दो अन्‍य घायल हो गए हैं.,0,0.0,hi
jaha pe video shoot kiya ha waha pe to ye koi lene wala bhi nahi hai,0,0.0,other
Up ka dekaho na......bhaia......koi news,0,0.0,other
Maine to teeno rashtradrohi khanon ka film nahi dekhaney ki kasam khaa li hai.,0,0.0,other
ha ha ha ! nahi nahi,0,0.0,fr
"भारतीय पारी शुरू, 50 ओवर में बनाने हैं 304 रन  http://goo.gl/15E2qC लाइव स्कोर यहां देखें : http://goo.gl/7WG0sX #INDvsSA #1stODI",0,0.0,hi
आवश्यकता है लडके एवं लडकियो की pantjali heath care में (राज्य एवं जिले अनुसार) हेल्पर- 8500+OT+ रहना+ खाना सुपरवाइजर- 12600+OT+रहना+ खाना (अनपढ से ग्रेजुएट तक)[उ०प्र० एवं बिहार मे and other states] सम्पर्क नं०- 7991766327 ( whatsapp),0,0.0,hi
"( पंडित पुरूषोत्तम आचार्य जी )+91-7410969065 स्पेस्लिस्ट- लव मैरिज ,वशीकरण, सौतन दुस्मन छुटकारा ,पति पत्नी अनबन  नंबर ,, एक बार फ़ोन जरूर कर( धन्यबाद ) whatsapp+91-7728891693",0,0.0,hi
"JOB JOB JOB →मोबाइल से 10000-50000 रूपए..  →प्रति महीनें कमायें बिल्कुल फ्री, तो →Play Store से *Champ Cash* →App को डाउनलोड करके अपना →रजिस्ट्रेशन करें। →Referal ID मांगने *14606214डालें.* --> 7 से 8 app डाउनलोड करके 2 मिनिट तक खोलें. -->जोइनिंग करते ही 62 ₹ मिलेंगे.",0,0.0,hi
अच्छा फैसला...दोनों को लाभ मिलेगा।,0,0.0,hi
Bharat ji hoga pkka hoga,0,0.0,other
Abe lol maine isliye tag kiya kyuki video acha hai😂,0,0.0,other
yaha shot khelna hi ek challenge hain.,0,0.0,de
Mitron... aapne unko 60 saal diye... mujhe bhi 60 saal dijiye,0,0.0,other
"Amartya Shrivastava aisa kuch karo yaar  baba , aur idea creditzz dena mat bhulna",0,0.0,it
Agar job nhi mila toh  #Vijay,0,0.0,other
"JOB JOB JOB →मोबाइल से 10000-50000 रूपए..  →प्रति महीनें कमायें बिल्कुल फ्री, तो →Play Store से *Champ Cash* →App को डाउनलोड करके अपना →रजिस्ट्रेशन करें। →Referal ID मांगने *14606214डालें.* --> 7 से 8 app डाउनलोड करके 2 मिनिट तक खोलें. -->जोइनिंग करते ही 62 ₹ मिलेंगे.",0,0.0,hi
"पंडितो बाबाओ से धोखा खाए जरूर आजमाए +91-9928827268 Astrology, Horoscope,pt:vinod swami ji call & Whatsapp no +91-9928827268 काले ईलम के माहिर सभी समसयाओ का समाधान गारनटी से 72 घनटो मे 101% पति पतनी मे अनबन वशीकरण love problem solutions pt:vinod swami ji",0,0.0,hi
"शर्मनाक: सरपंच महिला ने मां का अंतिम संस्कार किया... बेटे ने मां को 'डिसओन' किया हुआ था..     भाई ने चिढ़कर बहन की हत्या की, आज पेशी..  पढ़ें",0,0.0,hi
नमन उस माँ को ज़िस ने ऐसा विर सपुत जन्मा ... नमन उस देश के रखवाले को .... जय हिन्द,0,0.0,hi
Sir abb time aa gaya ha inko inki he bhasa may jawab dene ka chaye vo kashir ho ya fir nagalad,0,0.0,other
सरकार को पहले के कुछ महीने trail करना चाहिए..ना की अचानक लगू करना चाहीए ..जनता अभी इसके लिये तेयार नही है...,0,0.0,hi
Koi hat nhi sir har jet lgi rhi h,0,0.0,other
Atin Sharma kya Sach Mei?,0,0.0,other
Yar ap qabar ko join karin AP kin kaam per lag gaya haij,0,0.0,other
भारत बनाम बांग्लादेश: बारिश के चलते दूसरे दिन का खेल शुरू नहीं   #IndiaVsBangladesh,0,0.0,hi
NIT Warangal tk video phuch gyi...ab hui h really me video viral,0,0.0,en
‌Part time job करके Rs.10000 - 50000 कमाना चाहतेहै तो.......आइये *CashLess DIGITAL INDIA* से जुड़िये......Zero investment.... JOIN होने के लिए आप1⃣ अपने फ़ोन केplaystore*में*Champcash money free* लिखो और उस app को अपने मोबाइल में install कर लो !2⃣ अब app पर click करो और sign up पर click करके अपनी डिटेल्स भर दो.3⃣ Refer id of sponsor पूछेगा वहाँ पर *12935304* डाल दो 4⃣ complete challenge aur apna id activate karke business se jud jao*Refer id 12935304,0,0.0,hi
अमेरिकी राष्ट्रपति पद के रिपब्लिकन उम्मीदवार डोनाल्ड ट्रंप के हाल ही में सामने आए साल 2005 के वीडियो के बारे में उनकी पत्नी मेलानिया ने आखिरकार चुप्पी तोड़ी है. #DonaldTrump,0,0.0,hi
Bhai pareshan mat ho jindangi mai utar chadhav hote rahta h.,0,0.0,en
Ko kuchh hota. Hai. Vo sabhi. Ram. Rachi rakha   Hai.  Jai. Shre. Ram,0,0.0,other
Fans hai to jayege hi police ki galti hai laathi kyu chalayi,0,0.0,other
